MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,WIND SPEED,WIND DIRECTION
,,mm,°C,°C,°C,m/s,degrees
3,1,0,32,24.7,,2,130
3,2,0.5,30.3,25,27.7,2,110
3,3,1.5,30.1,23.6,26.9,2,110
3,4,T,29.5,23.3,26.4,3,80
3,5,0,31.9,22,27,4,120
3,6,0,32.8,22.6,27.7,2,130
3,7,0,32.6,23.4,28,2,120
3,8,0,32.5,23.3,27.9,3,120
3,9,0,30.6,22.2,26.4,4,110
3,10,0,32.4,22.7,27.6,3,120
3,11,0,33.4,23.4,28.4,3,110
3,12,0,34,25,29.5,3,110
3,13,0,33.3,26.4,29.9,2,140
3,14,T,34.4,24.7,29.6,2,120
3,15,T,32.4,25.2,28.8,3,110
3,16,0,32.7,25.2,29,4,110
3,17,0,32.5,24.1,28.3,5,100
3,18,0,32.5,22.9,27.7,4,110
3,19,0,32.3,23,27.7,3,110
3,20,0,32.4,24,28.2,4,120
3,21,1.5,31.5,24.6,28.1,1,190
3,22,0,34.8,25.8,,2,130
3,23,0,35.4,27.1,,2,120
3,24,0,34.7,25.5,,3,130
3,25,0,35.2,24.6,,3,120
3,26,0,34.9,25.3,30.1,3,120
3,27,0,32.9,26,29.5,3,100
3,28,0,32.3,25.8,29.1,4,110
3,29,0,33.4,25.5,29.5,3,110
3,30,0,33.5,22.5,28,4,120
3,31,0,34.3,25.2,29.8,2,120
