MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,WIND SPEED,WIND DIRECTION
,,mm,°C,°C,°C,m/s,degrees
2,1,8,32.6,24.3,28.5,2,120
2,2,3,29.8,23.9,26.9,2,100
2,3,T,30.1,21.9,26,2,110
2,4,0,30.2,22.6,26.4,3,110
2,5,0,31.5,23.1,27.3,2,140
2,6,T,29.3,23.4,26.4,3,100
2,7,0,32.1,23.5,27.8,3,90
2,8,0,29.8,22.9,26.4,2,270
2,9,T,30.9,23.9,27.4,3,120
2,10,0,30.6,23,26.8,2,110
2,11,T,30,23.5,26.8,4,80
2,12,0,28.6,22.5,25.6,3,120
2,13,T,27.5,20.9,24.2,3,100
2,14,0,29.3,21.1,25.2,4,60
2,15,0,29.8,21.1,25.5,3,70
2,16,0,30.4,22.5,26.5,3,110
2,17,0,29.8,24.5,27.2,2,120
2,18,20.5,28.5,23.6,26.1,1,70
2,19,T,27.6,23.4,25.5,3,130
2,20,0,31.5,25.7,28.6,4,110
2,21,0,32.7,23.3,28,4,110
2,22,0,32.5,23.5,28,3,110
2,23,0,32.4,25.4,28.9,2,130
2,24,0,32.9,24.8,28.9,3,110
2,25,0,32.6,25.2,28.9,3,120
2,26,0,32,25.5,28.8,3,110
2,27,0,32.6,24.4,28.5,4,110
2,28,T,31.9,23.9,,4,100
